 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan-Set/2021
"Unidade da Federação";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";9861592,32;9812340,48;14953391,13;15563729,11;16492196,14;15572901,51;14742747,37;13054732,77;12115394,39;122169025,22
"12 Acre";3715723,12;3538427,92;4077045,92;6307616,67;6354514,15;3461663,11;4979239,30;4138751,64;4260017,06;40832998,89
"13 Amazonas";21621697,26;26903413,08;26598262,21;22733131,00;25882861,87;26200089,42;24066337,32;22720450,82;21120609,03;217846852,01
"14 Roraima";3266928,47;3519773,73;4437161,10;5171370,92;4266254,94;3103979,88;3743330,65;3781921,16;3150835,05;34441555,90
"15 Pará";38842407,79;39270803,77;40701470,83;46662714,56;55352070,66;48295002,33;46336237,30;45126860,59;45776186,52;406363754,35
"16 Amapá";2807807,85;2822559,17;3192515,69;3622062,04;4388127,81;3967128,98;5215333,80;5269329,19;5036697,91;36321562,44
"17 Tocantins";7302211,47;9879152,35;10700770,91;9365632,90;9511274,51;11262768,61;10159174,66;10136608,55;11170484,72;89488078,68
"21 Maranhão";31820050,29;32763511,76;44854249,48;50406725,35;53579187,88;51476584,09;52577550,99;44466565,18;40122547,01;402066972,03
"22 Piauí";22694558,18;20989694,74;21620638,14;27410286,55;30173706,38;31135971,40;29451460,79;28954296,01;23195247,30;235625859,49
"23 Ceará";52326883,60;56302448,96;68431457,05;78634779,04;87024180,65;110342286,04;90870768,49;80203689,73;81201363,06;705337856,62
"24 Rio Grande do Norte";28075981,70;26593976,81;28455021,87;35952723,38;36887747,96;36785336,80;36055398,64;32939814,29;28124087,90;289870089,35
"25 Paraíba";19552670,55;21541485,83;26411037,52;29593654,84;34740964,07;34259202,92;29846704,89;28354953,45;24934526,89;249235200,96
"26 Pernambuco";83926177,17;78212282,77;87957628,27;103993131,51;123659775,59;125973975,41;115602232,15;104026183,65;85587490,39;908938876,91
"27 Alagoas";17548566,67;18587484,37;22323051,11;26826283,56;29651474,26;28155677,93;28995164,37;24880899,63;21964123,03;218932724,93
"28 Sergipe";12060864,70;13226099,48;13507023,71;14928721,85;17724664,13;19633473,10;18894097,84;14566795,83;12144593,36;136686334,00
"29 Bahia";80041951,06;82385385,11;102012674,19;115565887,57;115553383,46;129336764,01;133185386,00;110548470,15;103742560,79;972372462,34
"31 Minas Gerais";185696085,75;189117380,31;214175000,28;243308338,31;254115402,21;268787737,44;261663469,73;245948544,23;213196539,53;2076008497,79
"32 Espírito Santo";41075770,15;42552074,65;48960723,62;56417132,95;55162721,74;52214129,02;55588132,78;45641859,94;39443023,62;437055568,47
"33 Rio de Janeiro";94360352,53;92977068,51;113354995,98;119301740,74;134134455,37;133313172,39;132524225,91;134548365,76;130088686,39;1084603063,58
"35 São Paulo";356933912,84;351291225,12;408732468,93;478291766,50;514256905,28;527439291,73;520571425,10;466420009,60;401474771,91;4025411777,01
"41 Paraná";123533532,58;133647939,67;141403584,63;156544580,57;166229876,58;179777273,75;183043114,14;178439461,79;165431984,74;1428051348,45
"42 Santa Catarina";72929775,60;75923295,76;85896914,99;88356325,96;89928178,52;101878034,46;104260881,92;110327764,02;93567559,26;823068730,49
"43 Rio Grande do Sul";120185491,29;111745526,25;133998520,05;144160684,75;147200067,51;152125780,63;153146292,86;137561459,81;122944341,79;1223068164,94
"50 Mato Grosso do Sul";22018537,81;25326957,13;26273236,01;27778969,31;28963920,87;34526664,72;31984745,11;36713343,08;33140371,78;266726745,82
"51 Mato Grosso";19481528,85;19065468,58;24295698,28;31098888,85;31974225,98;33338909,05;39215412,56;38962584,02;29287860,45;266720576,62
"52 Goiás";46516938,86;44405057,98;58042547,89;63380067,96;60776098,70;64916492,41;72752320,44;72468238,27;67294965,98;550552728,49
"53 Distrito Federal";23527050,29;22766952,62;31831917,45;38410115,30;31532816,86;30629361,48;29662716,67;27288766,94;28509985,96;264159683,57
"Total";1541725048,75;1555167786,91;1807199007,24;2039787062,05;2165517054,08;2257909652,62;2229133901,78;2067490720,10;1848026855,82;17511957089,35
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
