data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-05-26,202422,16874.5,7546,,2975,0.0,138.31354,0,4,355030820242219877,2024-06-03,0.0,0.4372798,12200180.0,13.9411764705882,90.3647719607843,0,0,2,87.5251860392157,82.9300125490196,14.6307189019608,15.6470588235294,,,,,,1113068
2024-05-19,202421,25079.5,20134,,16740,0.0,205.56664,0,4,355030820242119877,2024-06-03,0.0,0.522371,12200180.0,18.4905660377358,87.0675954716981,1,0,2,80.3736487735849,75.5057158301887,19.2594339622642,20.1132075471698,,,,,,1113068
2024-05-12,202420,39824.5,36524,,33597,0.0,326.4255,0,4,355030820242019877,2024-06-03,0.0,0.7427652,12200180.0,21.811320754717,63.2717525471698,1,0,2,57.1981263962264,50.7956769811321,22.8113208679245,24.0377358490566,,,,,,1113068
2024-05-05,202419,51998.0,49555,,46976,0.0,426.20682,0,4,355030820241919877,2024-06-03,0.0,0.8937239,12200180.0,23.5882352941176,65.0358968431373,1,0,2,60.9654758431373,53.3304534117647,24.2516338823529,25.4117647058824,,,,,,1113068
2024-04-28,202418,53330.0,51366,,49396,0.0,437.1247,0,4,355030820241819877,2024-06-03,0.0,0.8482001,12200180.0,23.6153846153846,68.7574675384615,1,0,2,64.1605489230769,58.2102594423077,24.375,25.4423076923077,,,,,,1113068
2024-04-21,202417,56926.0,55343,,53992,0.0,466.59967,0,4,355030820241719877,2024-06-03,0.0,0.8769259,12200180.0,20.24,79.21583404,1,0,2,76.65902094,71.98159874,20.84666676,21.78,,,,,,1113068
2024-04-14,202416,65271.5,64233,,63301,0.9999997,535.0044,0,4,355030820241619877,2024-06-03,0.0,1.0282787,12200180.0,19.8235294117647,87.5939335686274,1,1,2,81.9668057254902,73.6457207254902,20.5196078431373,21.4901960784314,,,,,,1113068
2024-04-07,202415,68070.0,67447,,66924,1.0,557.94257,0,4,355030820241519877,2024-06-03,0.0,1.1004852,12200180.0,20.875,88.3287985416667,1,1,2,84.5033222291667,78.7796943333333,21.2395833333333,21.8958333333333,,,,,,1113068
2024-03-31,202414,63736.0,63331,,63104,1.0,522.4185,0,4,355030820241419877,2024-06-03,0.0,1.059443,12200180.0,20.7142857142857,82.0760761428571,1,1,2,77.9704031428571,69.9173762857143,21.3690477142857,22.7142857142857,,,,,,1113068
2024-03-24,202413,58624.0,58428,,58379,1.0,480.5175,0,4,355030820241319877,2024-06-03,0.0,1.0774544,12200180.0,19.0416666666667,89.9893957916667,1,1,2,88.8071457916667,88.253755,19.1805556666667,19.2083333333333,,,,,,1113068
2024-03-17,202412,67104.0,67104,,67104,1.0,550.02466,0,4,355030820241219877,2024-06-03,0.0,1.4422859,12200180.0,23.7142857142857,81.9362391428571,1,1,2,79.5661918571429,76.9668668571429,23.9761905714286,24.2857142857143,,,,,,1113068
2024-03-10,202411,54143.0,54143,,54143,1.0,443.78854,0,4,355030820241119877,2024-06-03,0.0,1.3770497,12200180.0,23.1111111111111,79.4867508444444,1,1,2,78.8900851777778,78.2869318444444,23.4155555555556,23.6888888888889,,,,,,1113068
2024-03-03,202410,45976.0,45976,,45976,1.0,376.8469,0,4,355030820241019877,2024-06-03,0.0,1.4012663,12200180.0,21.8666666666667,87.9625218666667,1,1,2,87.0249294444444,85.8240193777778,21.9377777777778,21.9555555555556,,,,,,1113068
2024-02-25,202409,39502.0,39502,,39502,1.0,323.7821,0,4,355030820240919877,2024-06-03,0.0,1.4885005,12200180.0,23.2916666666667,82.1888295416667,1,1,2,81.5072850416667,80.82574025,23.3645833333333,23.4375,,,,,,1113068
2024-02-18,202408,32999.0,32999,,32999,1.0,270.4796,0,4,355030820240819877,2024-06-03,0.0,1.6183381,12200180.0,21.0208333333333,89.74040125,1,1,2,88.1439720833333,86.18189375,21.09375,21.1666666666667,,,,,,1113068
2024-02-11,202407,26528.0,26528,,26528,1.0,217.4394,0,4,355030820240719877,2024-06-03,0.0,1.8670521,12200180.0,21.3061224489796,84.6217816938776,1,1,2,81.6001730612245,78.5785671428571,21.9285714285714,22.5510204081633,,,,,,1113068
2024-02-04,202406,20760.0,20760,,20760,1.0,170.16142,0,4,355030820240619877,2024-06-03,0.0,2.3758023,12200180.0,22.1333333333333,79.6076911555556,1,1,2,78.6573504888889,77.7070153777778,22.2111111111111,22.2888888888889,,,,,,1113068
2024-01-28,202405,14487.0,14487,,14487,1.0,118.74415,0,4,355030820240519877,2024-06-03,0.0,2.7822647,12200180.0,20.875,82.8574224166667,1,1,2,79.9624607083333,76.8108515833333,21.0694445416667,21.3125,,,,,,1113068
2024-01-21,202404,7070.0,7070,7070.0,7070,1.0,57.949966,0,4,355030820240419877,2024-06-03,0.0,2.1073923,12200180.0,18.2291666666667,90.655414375,1,1,2,89.8200161458333,88.9919489583333,18.277777875,18.375,,,,,,1113068
2024-01-14,202403,4608.0,4608,4608.0,4608,1.0,37.769936,0,4,355030820240319877,2024-06-03,0.0,2.0723789,12200180.0,23.5111111111111,82.0155726,1,1,2,80.3151331777778,78.6171941333333,23.7629630666667,24.0666666666667,,,,,,1113068
2024-01-07,202402,3066.0,3066,3066.0,3066,1.0,25.130777,0,4,355030820240219877,2024-06-03,0.0,2.2323737,12200180.0,22.6363636363636,80.3886825227273,1,1,2,78.3776565909091,76.3666293181818,23.0681818181818,23.5,,,,,,1113068
2023-12-31,202401,2399.0,2399,2399.0,2399,1.0,19.663645,0,2,355030820240119877,2024-06-03,0.0,2.4881294,12200180.0,20.0212765957447,84.8533344680851,1,1,2,84.0519549574468,83.2505757446809,20.0212765957447,20.0212765957447,,,,,,1113068
2023-12-24,202352,940.0,940,940.0,940,0.81588745,7.7048044,0,2,355030820235219877,2024-06-03,0.0,1.0428243,12200180.0,23.0566037735849,72.7691343584906,1,0,1,65.111746,59.9111776603774,24.688679245283,25.7547169811321,,,,,,1113068
2023-12-17,202351,816.0,816,816.0,816,0.010866922,6.688426,0,2,355030820235119877,2024-06-03,0.0,0.8953895,12200180.0,21.4905660377358,80.9376527735849,1,0,1,75.2405863773585,68.906129,22.5733754716981,23.6981132075472,,,,,,1113068
2023-12-10,202350,939.0,939,939.0,939,0.93219304,7.6966076,0,3,355030820235019877,2024-06-03,0.0,1.072587,12200180.0,19.625,85.1167883214286,1,0,1,78.3064034821429,68.9101191607143,21.4910714285714,23.25,,,,,,1113068
2023-12-03,202349,931.0,931,931.0,931,0.9991642,7.631035,0,3,355030820234919877,2024-06-03,0.0,1.1632967,12200180.0,18.5,91.099905,1,1,1,78.407325,63.059732,21.8611105,24.5,,,,,,1113068
2023-11-26,202348,921.0,921,921.0,921,0.99999654,7.549069,0,3,355030820234819877,2024-06-03,0.0,1.2478746,12200180.0,20.6666666666667,,1,1,1,,,,,,,,,,1113068
2023-11-19,202347,789.0,789,789.0,789,0.98303896,6.467118,0,2,355030820234719877,2024-06-03,0.0,1.115972,12200180.0,22.8333333333333,,1,1,1,,,,,,,,,,1113068
2023-11-12,202346,699.0,699,699.0,699,0.5462879,5.7294235,0,2,355030820234619877,2024-06-03,0.0,1.0062475,12200180.0,25.0,68.9779514,1,0,1,67.984248,66.9905456,25.1,25.2,,,,,,1113068
2023-11-05,202345,748.0,748,748.0,748,0.8626628,6.1310573,0,2,355030820234519877,2024-06-03,0.0,1.0589554,12200180.0,18.4222222222222,79.0184796666667,1,0,1,74.6636033111111,68.7736477555556,19.1888889777778,20.3333333333333,,,,,,1113068
2023-10-29,202344,632.0,632,632.0,632,0.011876776,5.1802516,0,1,355030820234419877,2024-06-03,0.0,0.8840009,12200180.0,21.2941176470588,86.7229964705882,1,0,1,81.842323745098,75.6395260588235,22.2205882352941,23.9803921568627,,,,,,1113068
2023-10-22,202343,754.0,754,754.0,754,0.6926318,6.180237,0,1,355030820234319877,2024-06-03,0.0,1.026428,12200180.0,19.3653846153846,85.9158974230769,1,0,1,83.4016253846154,78.0956655961539,19.9443980384615,21.2307692307692,,,,,,1113068
2023-10-15,202342,707.0,707,707.0,707,0.084831096,5.7949963,0,1,355030820234219877,2024-06-03,0.0,0.93078893,12200180.0,17.5294117647059,90.3620037254902,0,0,1,86.1584660784314,79.9759891176471,18.1323529411765,19.2745098039216,,,,,,1113068
2023-10-08,202341,691.0,691,691.0,691,0.059343915,5.663851,0,1,355030820234119877,2024-06-03,0.0,0.9210769,12200180.0,17.6415094339623,89.7431599056604,0,0,1,88.711110754717,87.5537603773585,18.2908803773585,19.0188679245283,,,,,,1113068
2023-10-01,202340,850.0,850,850.0,850,0.9995353,6.96711,0,2,355030820234019877,2024-06-03,0.0,1.1822655,12200180.0,19.8983050847458,88.2729685084746,1,1,1,82.9792332372881,75.8584678305085,21.1737288135593,22.9152542372881,,,,,,1113068
2023-09-24,202339,702.0,702,702.0,702,0.87416476,5.7540135,0,3,355030820233919877,2024-06-03,0.0,1.064094,12200180.0,21.2142857142857,81.7109415714286,1,0,1,75.8347237619048,65.3175468809524,22.2261904761905,24.6428571428571,,,,,,1113068
2023-09-17,202338,783.0,783,783.0,783,0.999999,6.417938,0,3,355030820233819877,2024-06-03,0.0,1.2917998,12200180.0,20.6981132075472,76.2259428113208,1,1,1,69.6448847735849,59.7945249811321,21.9213837735849,23.9622641509434,,,,,,1113068
2023-09-10,202337,650.0,650,650.0,650,0.9596363,5.3277903,0,1,355030820233719877,2024-06-03,0.0,1.1043737,12200180.0,14.0434782608696,87.7313104347826,0,1,1,81.7115891304348,71.3866734782609,15.1594201304348,17.3913043478261,,,,,,1113068
2023-09-03,202336,571.0,571,571.0,571,0.29606968,4.6802588,0,1,355030820233619877,2024-06-03,0.0,0.9690423,12200180.0,14.4076086956522,,0,0,1,,,,,,,,,,1113068
2023-08-27,202335,596.0,596,596.0,596,0.5465047,4.885174,0,1,355030820233519877,2024-06-03,0.0,1.0068002,12200180.0,14.7717391304348,,0,0,1,,,,,,,,,,1113068
2023-08-20,202334,590.0,590,590.0,590,0.5041065,4.8359942,0,1,355030820233419877,2024-06-03,0.0,1.0005994,12200180.0,15.1358695652174,,0,0,1,,,,,,,,,,1113068
2023-08-13,202333,593.0,593,593.0,593,0.7278845,4.8605843,0,1,355030820233319877,2024-06-03,0.0,1.036158,12200180.0,15.5,85.5571,0,0,1,85.5571,85.5571,15.5,15.5,,,,,,1113068
2023-08-06,202332,605.0,605,605.0,605,0.9415405,4.9589434,0,1,355030820233219877,2024-06-03,0.0,1.0965987,12200180.0,18.0,80.9219288571429,0,0,1,78.7917021428571,73.8022687142857,18.4591835714286,19.4285714285714,,,,,,1113068
2023-07-30,202331,586.0,586,586.0,586,0.7192765,4.803208,0,1,355030820233119877,2024-06-03,0.0,1.034795,12200180.0,15.4285714285714,86.4094024285714,0,0,1,83.2997424285714,80.1713942857143,16.0,16.7142857142857,,,,,,1113068
2023-07-23,202330,532.0,532,532.0,532,0.0011923494,4.3605914,0,1,355030820233019877,2024-06-03,0.0,0.8368806,12200180.0,18.4285714285714,72.1509871428571,1,0,1,68.7298377142857,64.899397,18.8626374285714,19.2857142857143,,,,,,1113068
2023-07-16,202329,528.0,528,528.0,528,3.6054326e-10,4.327805,0,1,355030820232919877,2024-06-03,0.0,0.7064279,12200180.0,15.1428571428571,85.2762414285714,0,0,1,84.3397957142857,82.85016,15.3241758571429,15.5714285714286,,,,,,1113068
2023-07-09,202328,628.0,628,628.0,628,1.3875456e-11,5.147465,0,1,355030820232819877,2024-06-03,0.0,0.7084891,12200180.0,17.0,75.965114,0,0,1,71.8438617142857,65.2987155714286,17.8571428571429,19.0,,,,,,1113068
2023-07-02,202327,727.0,727,727.0,727,3.5282888e-13,5.9589286,0,1,355030820232719877,2024-06-03,0.0,0.7080201,12200180.0,14.4285714285714,78.9327908571428,0,0,1,75.6476341428571,72.2852871428571,15.25,16.0,,,,,,1113068
2023-06-25,202326,888.0,888,888.0,888,6.854599e-10,7.278581,0,1,355030820232619877,2024-06-03,0.0,0.7642981,12200180.0,18.4285714285714,72.2878577142857,1,0,1,70.1978318571429,67.8325375714286,18.8116882857143,19.2857142857143,,,,,,1113068
2023-06-18,202325,1052.0,1052,1052.0,1052,1.9136659e-10,8.622824,0,1,355030820232519877,2024-06-03,0.0,0.77412754,12200180.0,14.8571428571429,81.3490735714286,0,0,1,78.4202214285714,74.0854094285714,15.4523808571429,16.1428571428571,,,,,,1113068
2023-06-11,202324,1148.0,1148,1148.0,1148,0.0,9.409698,0,1,355030820232419877,2024-06-03,0.0,0.6747493,12200180.0,16.4074074074074,81.4779155555556,0,0,1,79.3985228888889,77.3651542222222,16.7444444444444,16.962962962963,,,,,,1113068
2023-06-04,202323,1254.0,1254,1254.0,1254,0.0,10.278537,0,1,355030820232319877,2024-06-03,0.0,0.58281606,12200180.0,16.4230769230769,80.3743910769231,0,0,1,77.3456586923077,74.1138,16.9444444615385,17.5,,,,,,1113068
